BioProject	BioSample	Run	before_nreads	before_nbases	before_q20bases	before_q30bases	before_q20rate	before_q30rate	before_GCcontent	before_meanlength	after_nreads	after_nbases	after_q20bases	after_q30bases	after_q20rate	after_q30rate	after_GCcontent	after_meanlength	filter_n_passed	filter_n_lowquality	filter_n_too_many_N	filter_n_tooshort	filter_n_toolong	duplication_rate
PRJDB7011	SAMD00117545	DRR155008	64609666	6525576266	6349538183	6077855278	0.973023	0.93139	0.433621	101	63342864	6387661041	6246597851	5997713471	0.977916	0.938953	0.433741	100	63342864	966800	3246	296756	0	0.665733
PRJDB7011	SAMD00117546	DRR155009	63446686	6408115286	6196436367	5885836741	0.966967	0.918497	0.434897	101	61959564	6245131588	6077337713	5796576298	0.973132	0.928175	0.435165	100	61959564	1373404	3142	110576	0	0.647046
PRJDB7011	SAMD00117547	DRR155010	57810516	5838862116	5656234353	5391160362	0.968722	0.923324	0.432062	101	56462560	5693828807	5550421743	5311379245	0.974814	0.932831	0.432647	100	56462560	1227174	2766	118016	0	0.653007
PRJDB7011	SAMD00117548	DRR155011	43718182	4415536382	4291280338	4100273122	0.971859	0.928601	0.436857	101	42972428	4335834052	4233718994	4057762177	0.976449	0.935867	0.437104	100	42972428	706698	2160	36896	0	0.658947
PRJDB7011	SAMD00117549	DRR155012	24550720	2479622720	2403137259	2293193312	0.969154	0.924815	0.432516	101	23840080	2404410067	2347776746	2249515341	0.976446	0.935579	0.433077	100	23840080	437628	1200	271812	0	0.646481
PRJDB7011	SAMD00117550	DRR155013	7257654	733023054	712186557	681157505	0.971575	0.929244	0.452721	101	7015724	705889709	691024274	663229164	0.978941	0.939565	0.45285	100	7015724	67090	316	174524	0	0.586654
PRJDB7011	SAMD00117551	DRR155014	19658142	1985472342	1930708885	1845671860	0.972418	0.929588	0.440156	101	19221004	1936847740	1893369478	1815416317	0.977552	0.937305	0.440263	100	19221004	257180	916	179042	0	0.628872
PRJDB7011	SAMD00117552	DRR155015	14301532	1444454732	1407037996	1349549205	0.974096	0.934297	0.442994	101	13918396	1402804160	1374873553	1322579339	0.980089	0.942811	0.443331	100	13918396	129792	690	252654	0	0.64394
PRJDB7775	SAMD00161792	DRR169691	73821200	7455941200	7286956933	7040122080	0.977336	0.94423	0.458373	101	72540012	7303813957	7178291659	6958513427	0.982814	0.952723	0.458143	100	72540012	1153460	8588	119140	0	0.772417
PRJDB7775	SAMD00161793	DRR169692	44178280	4462006280	4329511588	4127606821	0.970306	0.925056	0.45877	101	43243298	4354636633	4254098901	4071727541	0.976912	0.935033	0.459005	100	43243298	784006	5096	145880	0	0.765067
PRJDB7775	SAMD00161794	DRR169693	3595758	363171558	353950784	341122685	0.97461	0.939288	0.458352	101	3513438	353560174	347052571	335810134	0.981594	0.949796	0.458294	100	3513438	60598	404	21318	0	0.666709
PRJDB7775	SAMD00161795	DRR169694	3091268	312218068	303935296	292540711	0.973471	0.936976	0.457944	101	3014176	303339673	297566934	287634755	0.980969	0.948227	0.458178	100	3014176	57124	402	19566	0	0.664263
PRJDB7775	SAMD00161796	DRR169695	43587524	4402339924	4295150320	4143872095	0.975652	0.941289	0.456642	101	42666336	4293313251	4216821329	4083833827	0.982183	0.951208	0.456484	100	42666336	711342	4954	204892	0	0.779117
PRJDB7775	SAMD00161797	DRR169696	41125122	4153637322	4052187216	3910497209	0.975576	0.941463	0.456975	101	40166782	4040000587	3969352540	3845605361	0.982513	0.951882	0.45699	100	40166782	652146	4676	301518	0	0.802108
PRJDB7775	SAMD00161798	DRR169697	38028094	3840837494	3743792867	3608941577	0.974733	0.939624	0.455648	101	37117330	3735356186	3667815101	3550222467	0.981918	0.950437	0.45583	100	37117330	656088	4252	250424	0	0.813262
PRJDB7775	SAMD00161799	DRR169698	55808972	5636706172	5497260199	5304267376	0.975261	0.941023	0.45342	101	54454374	5479063538	5382874647	5214834931	0.982444	0.951775	0.453539	100	54454374	922708	6512	425378	0	0.802741
PRJDB8696	SAMD00183603	DRR190783	5197979	654945354	648475083	643660085	0.990121	0.982769	0.455261	126	5194579	651419207	645113011	640371485	0.990319	0.983041	0.455056	125	5194579	335	2253	812	0	0.228037
PRJDB8696	SAMD00183604	DRR190784	6750046	850505796	843772777	838197420	0.992084	0.985528	0.473379	126	6744928	830597965	824194705	818801974	0.992291	0.985798	0.472465	123	6744928	348	3102	1668	0	0.309905
PRJDB8696	SAMD00183605	DRR190785	9538029	1201791654	1191272704	1182989707	0.991247	0.984355	0.455668	126	9529374	1193661067	1183614762	1175526933	0.991584	0.984808	0.455418	125	9529374	524	4217	3914	0	0.276017
PRJDB8696	SAMD00183606	DRR190786	8516607	1073092482	1063046827	1055150195	0.990639	0.98328	0.45273	126	8511638	1067661670	1057855702	1050075067	0.990815	0.983528	0.452475	125	8511638	446	3681	842	0	0.276181
PRJDB8696	SAMD00183607	DRR190787	7100973	894722598	885825218	879062904	0.990056	0.982498	0.451036	126	7096602	889430650	880757872	874101059	0.990249	0.982765	0.450741	125	7096602	358	3244	769	0	0.245005
PRJDB8696	SAMD00183608	DRR190788	5829062	734461812	727331894	722102078	0.990292	0.983172	0.455677	126	5825388	730848958	723904211	718758123	0.990498	0.983456	0.455505	125	5825388	341	2602	731	0	0.230055
PRJDB8696	SAMD00183609	DRR190789	7427079	935811954	928327267	922419245	0.992002	0.985689	0.45653	126	7421393	929896209	922715315	916932065	0.992278	0.986059	0.456299	125	7421393	373	3330	1983	0	0.268586
PRJDB8696	SAMD00183610	DRR190790	7399271	932308146	924073038	917367610	0.991167	0.983975	0.458425	126	7394234	927318591	919324740	912726724	0.99138	0.984264	0.45824	125	7394234	321	3428	1288	0	0.262332
PRJDB8696	SAMD00183611	DRR190791	6922205	872197830	865061400	859313618	0.991818	0.985228	0.459193	126	6917536	867798053	860896968	855249722	0.992048	0.98554	0.459046	125	6917536	340	3180	1149	0	0.265799
PRJDB9607	SAMD00216748	DRR219414	10305074	878210290	777998041	746343327	0.88589	0.849846	0.472663	85	9740958	829867020	753829267	724812917	0.908374	0.873409	0.466462	85	9740958	562721	1395	0	0	0.369878
PRJDB9607	SAMD00216748	DRR219415	12764357	1089052109	955881613	915372223	0.877719	0.840522	0.478989	85	11967576	1020757581	921556124	884839440	0.902816	0.866846	0.471587	85	11967576	795131	1650	0	0	0.362276
PRJDB9607	SAMD00216748	DRR219416	9541123	812800662	709035799	678331605	0.872337	0.834561	0.47721	85	8882607	756356613	680826330	653243594	0.900139	0.863671	0.468803	85	8882607	657308	1208	0	0	0.41146
PRJDB9607	SAMD00216749	DRR219417	10910376	927978497	813215732	778864921	0.87633	0.839314	0.474244	85	10223059	869073994	783619988	752498772	0.901672	0.865863	0.466797	85	10223059	685830	1487	0	0	0.514435
PRJDB9607	SAMD00216749	DRR219418	9726337	827859810	728428510	698177436	0.879894	0.843352	0.470735	85	9148482	778331226	703633555	676059254	0.904028	0.868601	0.463771	85	9148482	576520	1335	0	0	0.51783
PRJDB9607	SAMD00216749	DRR219419	15446066	1313722962	1172213496	1126969415	0.892284	0.857844	0.468259	85	14668554	1247095519	1138619615	1097028543	0.913017	0.879667	0.462909	85	14668554	775430	2082	0	0	0.331985
PRJDB9607	SAMD00216750	DRR219420	10853891	924472418	798376001	762678497	0.863602	0.824988	0.48169	85	10032269	854036021	762658309	730870308	0.893005	0.855784	0.472624	85	10032269	820255	1367	0	0	0.478572
PRJDB9607	SAMD00216750	DRR219421	15394047	1311664639	1159717556	1112646321	0.884157	0.84827	0.468282	85	14530944	1237693101	1122422332	1079465134	0.906866	0.872159	0.462095	85	14530944	861026	2077	0	0	0.408046
PRJDB9607	SAMD00216750	DRR219422	12818449	1092272132	953195878	912511401	0.872673	0.835425	0.474265	85	11947951	1017673424	915541655	878968560	0.899642	0.863704	0.467163	85	11947951	868794	1704	0	0	0.433399
PRJDB9607	SAMD00216749	DRR219427	25805152	2219243072	2040942402	1962232347	0.919657	0.88419	0.452491	86	25567743	2198825898	2030014101	1952642654	0.923226	0.888039	0.452275	86	25567743	237020	389	0	0	0.263853
PRJDB9607	SAMD00216750	DRR219428	29525406	2539184916	2335480564	2246276298	0.919776	0.884645	0.448989	86	29220646	2512975556	2321497755	2233988048	0.923804	0.888981	0.448703	86	29220646	304319	441	0	0	0.271403
PRJDB9607	SAMD00216751	DRR219429	32076739	2758599554	2534804072	2437104279	0.918874	0.883457	0.44772	86	31747012	2730243032	2519617290	2423805813	0.922855	0.887762	0.447528	86	31747012	329244	483	0	0	0.280831
PRJDB9607	SAMD00216752	DRR219430	22751948	1956667528	1804997130	1737230323	0.922485	0.887852	0.444918	86	22558608	1940040288	1796091918	1729440196	0.925801	0.891446	0.44474	86	22558608	192956	384	0	0	0.300526
PRJDB9607	SAMD00216753	DRR219431	30050962	2584382732	2380154008	2289845088	0.920976	0.886032	0.449676	86	29766317	2559903262	2367074787	2278372048	0.924674	0.890023	0.449446	86	29766317	284209	436	0	0	0.339582
PRJDB9607	SAMD00216754	DRR219432	22870944	1966901184	1805306235	1735551463	0.917843	0.882379	0.448678	86	22598110	1943437460	1792844698	1724613443	0.922512	0.887404	0.448384	86	22598110	272487	347	0	0	0.284209
PRJDB9607	SAMD00216748	DRR219433	26480295	2277305370	2090478758	2008524661	0.917962	0.881974	0.447811	86	26237670	2256439620	2079249690	1998711126	0.921474	0.885781	0.447664	86	26237670	242204	421	0	0	0.295391
PRJDB9752	SAMD00222772	DRR225276	47413624	4788776024	4701325521	4539602169	0.981738	0.947967	0.447553	101	47107756	4741209858	4664388939	4507331633	0.983797	0.950671	0.447283	100	47107756	304252	260	1356	0	0.313683
PRJDB9752	SAMD00222773	DRR225277	39692054	4008897454	3939728237	3808705737	0.982746	0.950063	0.449315	101	39479572	3972601308	3911029374	3783332396	0.984501	0.952356	0.448989	100	39479572	211308	192	982	0	0.250076
PRJDB9752	SAMD00222774	DRR225278	43032340	4346266340	4260561354	4104764591	0.980281	0.944435	0.447973	101	42770990	4306087963	4229607730	4077835808	0.982239	0.946993	0.447645	100	42770990	260198	202	950	0	0.283566
PRJDB9752	SAMD00222778	DRR225279	47828488	4830677288	4763819162	4626908776	0.98616	0.957818	0.445925	101	47654338	4802531300	4742422584	4608316506	0.987484	0.95956	0.445703	100	47654338	174150	0	0	0	0.160336
PRJDB9752	SAMD00222779	DRR225280	57008714	5757880114	5652054493	5459301061	0.981621	0.948144	0.447098	101	56605134	5699375230	5608188953	5421048388	0.984001	0.951165	0.446667	100	56605134	403416	164	0	0	0.500585
PRJDB9752	SAMD00222780	DRR225281	41328348	4174163148	4093236395	3946363416	0.980612	0.945426	0.449163	101	41047948	4127918290	4056753085	3914163293	0.98276	0.948217	0.448784	100	41047948	279440	176	784	0	0.284552
PRJDB9752	SAMD00222775	DRR225282	50243390	5074582390	5007840635	4865729777	0.986848	0.958843	0.448446	101	50043676	5024399335	4965167189	4826468372	0.988211	0.960606	0.447993	100	50043676	197638	0	2076	0	0.297461
PRJDB9752	SAMD00222776	DRR225283	43867878	4430655678	4351985169	4204590078	0.982244	0.948977	0.450054	101	43640686	4394041021	4323471587	4179574704	0.98394	0.951192	0.449788	100	43640686	225920	206	1066	0	0.334523
PRJDB9752	SAMD00222777	DRR225284	50808502	5131658702	5040925401	4871432335	0.982319	0.94929	0.448582	101	50490142	5083098065	5003378570	4838622685	0.984317	0.951904	0.448312	100	50490142	316628	340	1392	0	0.487216
PRJDB10183	SAMD00235524	DRR237191	42366404	4236640400	4091672369	3961790135	0.965782	0.935125	0.446748	100	42082354	4207192076	4075330432	3947677668	0.968658	0.938316	0.446845	99	42082354	270388	13662	0	0	0.0883009
PRJDB10183	SAMD00235525	DRR237192	42554418	4255441800	4109402629	3974426887	0.965682	0.933963	0.445806	100	42298104	4228418076	4094197115	3961308018	0.968257	0.93683	0.445905	99	42298104	242720	13594	0	0	0.101319
PRJDB10183	SAMD00235526	DRR237193	49562328	4956232800	4787497745	4633132998	0.965955	0.934809	0.445857	100	49260768	4924446474	4769566160	4617632561	0.968549	0.937696	0.445973	99	49260768	285776	15784	0	0	0.109916
PRJDB10183	SAMD00235527	DRR237194	46106610	4610661000	4451933311	4309271087	0.965574	0.934632	0.446065	100	45808040	4578901130	4434015201	4293717936	0.968358	0.937718	0.446169	99	45808040	283668	14902	0	0	0.101163
PRJDB10183	SAMD00235528	DRR237195	43582614	4358261400	4212027467	4079387489	0.966447	0.936013	0.446293	100	43310716	4329070968	4195401840	4064962878	0.969123	0.938992	0.446399	99	43310716	257906	13992	0	0	0.0950462
PRJDB10183	SAMD00235529	DRR237196	45543102	4554310200	4390843111	4249465008	0.964107	0.933064	0.446237	100	44918014	4489411592	4351773931	4215521544	0.969342	0.938992	0.446572	99	44918014	274918	14546	335624	0	0.095892
PRJDB10183	SAMD00235530	DRR237197	42271302	4227130200	4070579192	3930418643	0.962965	0.929808	0.447506	100	41968462	4195150220	4052732160	3915077551	0.966052	0.933239	0.447555	99	41968462	289330	13510	0	0	0.093226
PRJDB10183	SAMD00235531	DRR237198	40353102	4035310200	3882631801	3748938088	0.962164	0.929033	0.448694	100	40014208	3999833662	3863130759	3731983133	0.965823	0.933035	0.448668	99	40014208	326254	12640	0	0	0.097025
PRJDB10183	SAMD00235532	DRR237199	40348086	4034808600	3892671155	3762062795	0.964772	0.932402	0.447861	100	40090744	4008080694	3877821230	3749321510	0.96750100000000006	0.935441	0.44796	99	40090744	244464	12878	0	0	0.102396
PRJDB10183	SAMD00235533	DRR237200	45658910	4565891000	4403918025	4260716585	0.964525	0.933162	0.446573	100	45340958	4532512800	4385372301	4244789392	0.967537	0.93652	0.446645	99	45340958	303372	14580	0	0	0.101502
PRJDB10183	SAMD00235534	DRR237201	46952530	4695253000	4535334961	4394798894	0.96594	0.936009	0.4491	100	46526930	4650969632	4508873344	4371527270	0.969448	0.939917	0.449268	99	46526930	293266	15124	117210	0	0.104982
PRJDB10183	SAMD00235535	DRR237202	41461638	4146163800	4005647860	3877063764	0.966109	0.935097	0.446209	100	41218310	4120212126	3990974637	3864354805	0.968633	0.937902	0.446368	99	41218310	230200	13128	0	0	0.0973352
PRJDB10183	SAMD00235536	DRR237203	49612848	4961284800	4754852641	4572349244	0.958391	0.921606	0.448047	100	49227070	4920840844	4732514485	4553200470	0.961729	0.925289	0.447962	99	49227070	372014	13764	0	0	0.111735
PRJDB10183	SAMD00235537	DRR237204	46733074	4673307400	4476433597	4298604065	0.957873	0.919821	0.451074	100	46392656	4637643034	4456704897	4281841926	0.960985	0.92328	0.450993	99	46392656	327702	12716	0	0	0.121681
PRJDB10183	SAMD00235538	DRR237205	50119958	5011995800	4798699949	4607886371	0.957443	0.919372	0.449787	100	49731168	4971159612	4775297739	4587804916	0.9606	0.922884	0.449699	99	49731168	357100	13818	17872	0	0.125356
PRJDB10183	SAMD00235539	DRR237206	49857680	4985768000	4775700852	4590836836	0.957867	0.920788	0.44874000000000003	100	49441948	4942192615	4750951045	4569499286	0.961304	0.924589	0.448654	99	49441948	386890	14016	14826	0	0.129431
PRJDB10183	SAMD00235540	DRR237207	39689902	3968990200	3812197171	3670553415	0.960495	0.924808	0.443853	100	39427136	3941791600	3797191112	3657740933	0.963316	0.927939	0.443838	99	39427136	251742	11024	0	0	0.114804
PRJDB10183	SAMD00235541	DRR237208	46836466	4683646600	4489985139	4318063235	0.958652	0.921945	0.444863	100	46506616	4649082304	4470930981	4301846831	0.96168	0.925311	0.444825	99	46506616	316856	12994	0	0	0.103035
PRJDB10183	SAMD00235542	DRR237209	43802462	4380246200	4192529807	4024152910	0.957145	0.918705	0.446883	100	43405194	4336891029	4165127381	3999939112	0.960395	0.922306	0.446683	99	43405194	317974	11950	67344	0	0.126303
PRJDB10183	SAMD00235543	DRR237210	45592840	4559284000	4358544042	4181030512	0.955971	0.917037	0.442941	100	45205824	4518757968	4336427093	4161881517	0.95965	0.921023	0.442791	99	45205824	374256	12760	0	0	0.0995879
PRJDB10183	SAMD00235544	DRR237211	44175834	4417583400	4230166750	4061724752	0.957575	0.919445	0.443526	100	43870302	4385443850	4212362664	4046505500	0.960533	0.922713	0.443494	99	43870302	293364	12168	0	0	0.107937
PRJDB10183	SAMD00235545	DRR237212	44763878	4476387800	4279217723	4107802929	0.955953	0.91766	0.446254	100	44396576	4438122292	4258334048	4090077991	0.95949	0.921578	0.446146	99	44396576	354970	12332	0	0	0.10522
PRJDB10183	SAMD00235546	DRR237213	50803252	5080325200	4866072890	4683819928	0.957827	0.921953	0.449494	100	50121154	5010184993	4823423180	4646245763	0.962724	0.92736	0.449574	99	50121154	366276	14396	301426	0	0.133692
PRJDB10183	SAMD00235547	DRR237214	44070128	4407012800	4224370476	4059840429	0.958556	0.921223	0.446449	100	43765306	4374949722	4206493434	4044595472	0.961495	0.92449	0.446423	99	43765306	292732	12090	0	0	0.117215
PRJDB9681	SAMD00244294	DRR243587	17400044	2627406644	2237650778	2039353620	0.851658	0.776185	0.21171	151	12772788	1900156948	1718610367	1600838358	0.904457	0.842477	0.178774	148	12772788	4627096	160	0	0	0.0375223
PRJDB9681	SAMD00244295	DRR243588	12849696	1940304096	1637295697	1483693669	0.843835	0.764671	0.216931	151	9068376	1349658022	1217987754	1131644386	0.902442	0.838467	0.179696	148	9068376	3781170	150	0	0	0.0268702
PRJDB9681	SAMD00244296	DRR243589	14528200	2193758200	1855991622	1682668201	0.846033	0.767025	0.215719	151	10547420	1569357840	1413292450	1311610762	0.900555	0.835763	0.179561	148	10547420	3980666	114	0	0	0.0254968
PRJDB9681	SAMD00244297	DRR243590	12624214	1906256314	1618747885	1473009565	0.849176	0.772724	0.211783	151	9240392	1375736782	1241631096	1155453610	0.902521	0.83988	0.176244	148	9240392	3383718	104	0	0	0.0307317
PRJDB9681	SAMD00244298	DRR243591	9017010	1361568510	1150694096	1042493690	0.845124	0.765656	0.215735	151	6495208	966931638	870814112	808017758	0.900595	0.835651	0.179026	148	6495208	2521704	98	0	0	0.026352
PRJDB9681	SAMD00244299	DRR243592	19742092	2981055892	2536200624	2302313929	0.850773	0.772315	0.206399	151	14636912	2178207248	1969450909	1830009389	0.904161	0.840145	0.172477	148	14636912	5104898	282	0	0	0.0295087
PRJDB9681	SAMD00244300	DRR243593	16008522	2417286822	2049606090	1858223422	0.847895	0.768723	0.215469	151	11694398	1737712530	1567881798	1455373830	0.902268	0.837523	0.18017	148	11694398	4313948	176	0	0	0.029782
PRJDB9681	SAMD00244301	DRR243594	29204042	4409810342	3743144566	3402190573	0.848822	0.771505	0.212431	151	21290972	3167541780	2860618520	2660934553	0.903104	0.840063	0.178087	148	21290972	7912772	298	0	0	0.0322872
PRJDB9681	SAMD00244302	DRR243595	15823214	2389305314	2038771701	1854282090	0.853291	0.776076	0.207501	151	11869070	1768574624	1599539292	1487627128	0.904423	0.841145	0.173722	149	11869070	3954004	140	0	0	0.0288953
PRJDB9681	SAMD00244303	DRR243596	35450170	5352975670	4558712000	4152403224	0.851622	0.775719	0.212866	151	26026486	3870065684	3501375025	3261071294	0.904733	0.84264	0.180044	148	26026486	9423324	360	0	0	0.0386624
PRJDB9681	SAMD00244304	DRR243597	14461402	2183671702	1865532486	1701998993	0.85431	0.779421	0.210866	151	10704590	1592449136	1444127671	1346822324	0.90686	0.845755	0.17744	148	10704590	3756682	130	0	0	0.0389755
PRJDB9681	SAMD00244305	DRR243598	10827272	1634918072	1384562122	1252583293	0.846869	0.766144	0.213238	151	7902844	1176934566	1061985777	985016716	0.902332	0.836934	0.175965	148	7902844	2924264	164	0	0	0.0238261
PRJDB9681	SAMD00244306	DRR243599	16690724	2520299324	2162410203	1974315593	0.857997	0.783366	0.204653	151	12580912	1875029040	1704041831	1589546113	0.908808	0.847745	0.171094	149	12580912	4109646	166	0	0	0.0331219
PRJDB9681	SAMD00244307	DRR243600	23879876	3605861276	3033149564	2733645660	0.841172	0.758112	0.219634	151	17159528	2551624690	2290743944	2118034852	0.897759	0.830073	0.181993	148	17159528	6720114	234	0	0	0.0193508
PRJDB9681	SAMD00244308	DRR243601	13797184	2083374784	1771277066	1609142187	0.850196	0.772373	0.214246	151	10154546	1508747066	1363090006	1266822576	0.903458	0.839652	0.180124	148	10154546	3642500	138	0	0	0.0313996
PRJDB9681	SAMD00244309	DRR243602	27752280	4190594280	3560035826	3235418046	0.84953	0.772067	0.215123	151	20374472	3031370458	2734797789	2541827995	0.902165	0.838508	0.181896	148	20374472	7377538	270	0	0	0.0339566
PRJDB9681	SAMD00244310	DRR243603	10472240	1581308240	1337312539	1213244235	0.8457	0.767241	0.217332	151	7566216	1124862602	1013074393	940895294	0.900621	0.836454	0.182053	148	7566216	2905958	66	0	0	0.0296254
PRJDB9681	SAMD00244311	DRR243604	13874906	2095110806	1775473526	1610643817	0.847437	0.768763	0.215195	151	10043624	1494938236	1349375227	1253767552	0.902629	0.838675	0.179821	148	10043624	3831134	148	0	0	0.0322017
PRJDB9681	SAMD00244312	DRR243605	15902506	2401278406	2039260273	1854664555	0.849239	0.772365	0.21408	151	11591424	1725198710	1557497469	1448815077	0.902793	0.839796	0.18034	148	11591424	4310946	136	0	0	0.0341116
PRJDB9681	SAMD00244313	DRR243606	8014828	1210239028	1015686870	915483601	0.839245	0.756449	0.223045	151	5703836	848159780	760421311	703173204	0.896554	0.829057	0.184383	148	5703836	2310902	90	0	0	0.0216364
PRJDB9681	SAMD00244314	DRR243607	11405514	1722232614	1455357504	1317098668	0.845041	0.764762	0.215905	151	8203434	1218629082	1098814977	1019164281	0.901681	0.83632	0.179477	148	8203434	3201966	114	0	0	0.0254656
PRJDB9681	SAMD00244315	DRR243608	28859854	4357837954	3658107887	3291198854	0.839432	0.755237	0.221474	151	20747904	3080562632	2756897645	2544042428	0.894933	0.825837	0.185712	148	20747904	8111678	272	0	0	0.0282564
PRJDB9681	SAMD00244316	DRR243609	9512654	1436410754	1215673730	1099434598	0.846327	0.765404	0.213232	151	6970646	1036127230	933365791	864791412	0.900822	0.834638	0.177669	148	6970646	2541876	132	0	0	0.0262692
PRJDB9681	SAMD00244317	DRR243610	13821024	2086974624	1766046031	1602298639	0.846223	0.767761	0.216264	151	10019344	1487823294	1339741193	1243731641	0.900471	0.83594	0.182067	148	10019344	3801574	106	0	0	0.0300923
PRJDB9681	SAMD00244318	DRR243611	18641164	2814815764	2394588027	2176724959	0.850709	0.77331	0.208397	151	13663180	2036858204	1841309018	1712266303	0.903995	0.840641	0.174552	149	13663180	4977772	212	0	0	0.027219900000000002
PRJDB9681	SAMD00244319	DRR243612	25181698	3802436398	3224925526	2924577328	0.848121	0.769132	0.211911	151	18411702	2740687334	2473839716	2297456093	0.902635	0.838277	0.177051	148	18411702	6769708	288	0	0	0.0270052
PRJDB9681	SAMD00244320	DRR243613	32640308	4928686508	4175846860	3788942730	0.847253	0.768753	0.216644	151	23779686	3534223876	3183399168	2955516988	0.900735	0.836256	0.182681	148	23779686	8860334	288	0	0	0.0306961
PRJDB9681	SAMD00244321	DRR243614	24827586	3748965486	3184320470	2891573276	0.849386	0.771299	0.212924	151	18250430	2716432552	2450660962	2275906851	0.902162	0.837829	0.179234	148	18250430	6576882	274	0	0	0.0296419
PRJDB9681	SAMD00244322	DRR243615	21946152	3313868952	2804138219	2540982744	0.846183	0.766772	0.215937	151	15959548	2370789924	2134429301	1979642220	0.900303	0.835014	0.182163	148	15959548	5986378	226	0	0	0.0300852
PRJDB9681	SAMD00244323	DRR243616	33571810	5069343310	4286973592	3878803892	0.845666	0.765149	0.217029	151	24343912	3615317636	3257325176	3019359915	0.900979	0.835158	0.182321	148	24343912	9227588	310	0	0	0.02805
